Author,Thread_Title,Content,Thread_URL,,,,,,,,,,,
infpasheck,Relationship Advice ENFJ Type 3 / INFP Type 2 HELP!,"Hey everyone! I?™m a INFP type 2 (25F) and I REALLY like a ENFJ type 3 (23M). We live in different states but I?™m moving to the same one in a few months for work. He is someone who takes on a lot of work to meet his goals which is something I admire about him, but it is proving challenging in getting time to speak with him. 

For a little background when we met it was 2 years ago at a bar. The connection was instant and I never felt something like it before. We locked eyes and it was very intense. I thought about it for weeks. We both however where in relationships at the time and we only talked briefly but friended each other on social media. We didn?™t talk again until 8 months ago when we both were single and I decided to reach out. It progressed slowly and we would just primarily have short text conversations. I ended up being near where he lived for only one night 4 months ago and went to see him. We had a VERY strong connection but almost said no words to each other (which during the time made me feel like I was being too boring) but the connection was very obviously there. We ended up hooking up (which is very out of character for me) but it was honestly so amazing and the closeness was like something I?™ve never experienced.

Since then we continue to check in on one another ever since. We have told each other we like each other and flirted but it hasn?™t progressed as much as I would think it would have. I know being physically present is important and he works a lot but I also feel like I?™m putting more effort than he is. Sometimes I will text him and not get replied to for a day or couple days, usually with him apologizing and having an excuse. Or I will share something with him and not get a very long response. Reading more on ENFJs this seems like somewhat normal behavior but I have a hard time not feeling like he?™s ?œnot that into me??

So with all that said my few questions are

If a ENFJ is quiet around you is it a bad thing? When we were around others he was very playful but when we got time alone he was very quiet and I was nervous so I was very quiet which seemed almost awkward. He once in a while would do something like break into song or do something light but we didn?™t have any kind of deep conversation. But we had a very strong physical connection.

Could it be that I?™m reading it wrong and he isn?™t interested in anything other than something sexual and is just still talking to me to be nice? He did say he missed me, often tells me I?™m sweet and wanted to spend time together when I did get there but other times he will call me words like ?œdude??and ?œpal??that make me ????

Because of how hot and cold he has been though I have also pulled back at times and waited for him to be the one to reach out to me. So I?™m not sure if he?™s doing it because he?™s unsure of my feelings or what. I feel like it?™s pretty obvious that I like him though. It seriously is messing with my head! Lol. 

We both still after all this time don?™t know THAT much about each other, or at least not as much as I?™d like. It?™s still very surface level. Should I be the one to try to make the conversation deeper? I have found certain subjects when he is uncomfortable with them he will pass by them quickly. 

Should I give him more space and not be quick to respond if he does the same? I know reaching out to him to show him I care is important but I also don?™t want to over burden or be ?œtoo much??and not have any amount of mystery. 

Any kind or advice or insight would be appreciated, I have never liked someone in this way before and am very hopeful. Thank you so much!",https://www.personalitycafe.com//threads/relationship-advice-enfj-type-3-infp-type-2-help.1194297/,,,,,,,,,,,
drizzy lake,What do you do in alone time?,"Is dancing, singing and talking to yourself considered normal ENFJ-alone at home-behavior? Or is that just crazy me? Honestly I mostly prefer that over playing video games, watching movies or whatever nowadays. Of course, I prefer being with people and/or being outside most of the time but I do want and need my alone time, but I spend even that in a kind of extroverted way lol.
How about yall?",https://www.personalitycafe.com//threads/what-do-you-do-in-alone-time.1161825/,,,,,,,,,,,
SOM,Help for a recently dumped ENFJ teen,"I am actually asking for someone other than myself, out of my concern for him. A family member of mine just broke up with her ENFJ boyfriend of 3 1/2 years. She loves him, but they are 19 and she was feeling like she was married. He needs a lot of attention via the phone and texting throughout the day, and gets upset with her when he doesn't get it. His needs seems worse when she is under school stress.  And, there are other issues as well. He is good to her in most ways, but she was feeling like 'a well-fed bird in a cage'. So, she just broke up with him and he is just devastated.
Being an NF myself (she is an ENTJ), and having been on the same end of things as he now is, I am concerned for him. Any advice?? We NF's feel so deeply, these things are so hard. :sad:",https://www.personalitycafe.com//threads/help-for-a-recently-dumped-enfj-teen.1209674/,,,,,,,,,,,
devsmess,Dating a Guy with NO Baggage/ Pain - Help?,"Long time no chat, ENFJs and onlookers. It's been a while, so I hope ya'll are doing alright!

I was hoping to get your opinions and insights, because... well, I have a problem that shouldn't seem like a problem at all. 

I'm an ENFJ (28-female) dating a male who I've tentatively typed as an ESFP. We were friends for a while before I was single again, and then I realized just how incredible he really was and he told me he liked me and we started dating. Things are going great, and I know he truly cares about me and loves me, too. I certainly see him as someone who I could be with for quite some time. We're both in a place in our lives where we're looking for someone who could be a life-partner, so we're both taking things seriously.

But here's the rub.

He has no... pain. I mean, kill me, right? He's just... whole. He's stable. He's confident, but not cocky. He's comfortable with who he is. He's been hurt in relationships, but he's gotten over them. He's just... okay all by himself. He doesn't need anything from anyone. He's happy on his own, but he's happier with me. 

I know what you're thinking. Well, damn, Steph, sounds like you found a real fuckin' keeper. What are you complaining about? He's hot, stable, confident, loves you, and you have really good chemistry. 

But my problem is-- I connect to others best through pain. 

My last two long term relationships were good relationships, and I was certainly in love before. In those relationships, I did what I did best, and it's something I think a lot of ENFJs do stunningly well-- take away other peoples pain through emotional comfort, shouldering or sharing burdens, and being there for them when the going gets really tough. I also really connect with others through being able to help them reach their goals, and encouraging them to push themselves. 

But... but he doesn't have that kind of pain. I'm not saying he's an innocent guy, 'cause he's absolutely not. He just... is so 'okay' with life. He claims he wasn't always this way, and that hiking the PCT in five months really changed him, but for the life of me, I don't know how in the fuck to deal with it. He's not worried about the future, he doesn't have any bad childhood baggage, his family is still together, he doesn't have any medical or mental issues, he's enjoying his life day-by-day without putting pressure on himself to get better-faster-stronger, he's just... he's so fucking 'okay'. And his goals consist of hiking more and buying a home in a few years.

And, ya'll, I'll tell you, I'm over here like, HEY ANXIETY, I'm feeling hella behind and lost in my life, I'm going back to school for another degree but unsure of it and really just want to make a difference and earn a good living and not have to work three jobs, I have a hard time relaxing, I have a mild martyr complex, I'm a writer, emotionally unstable (but not crazy at least), I journal about my problems, and get angry and emotional over things, and he's just cool as a fuckin' cucumber. And he's going to hike without me doing a damn thing to help him anyway. 

And I don't know how to help him. I don't know how to feel like I provide value. I mean, yeah, sure, I make him laugh, and we have chemistry, and we love each other, and companionship, and blah-blah-blah, but what is my PURPOSE in the relationship aside from to enjoy it? I need more DEPTH, I need more intimate connection, I need to get down there and scrape through him until I'm cuddled up against the marrow of his bones and understand every bit of who he is from his fears, to his flaws, to the secrets he's never let on. But he claims he just... is who he is, and that he's a simple guy and that's all there is to him.

I'm at a total loss. I don't know what role to play in the relationship, and I need one. I don't know what to do about it.

- - -

TLDR: I'm dating a man that has no emotional pain or baggage for me to help him through in order to connect, and I'm finding it hard to find my role as a value-provider in the relationship aside from just being a loving companion, which you can find in many people. How do you connect the deepest with your significant other, and have you ever been with someone who doesn't have pain? As ENFJs, I feel like we have an intimate relationship with sharing pain (hello, Fe), and not connecting through it is so strange to me.",https://www.personalitycafe.com//threads/dating-a-guy-with-no-baggage-pain-help.1182634/,,,,,,,,,,,
naren,enfjs and being superficial?,"i noticed that whenever people ask enfjs what they look for in a relastionship they always say,a connection or being authentic,now i get the feeling that enfjs are so obsessed with being authentic is because unconsiously they know they are superficial or people see them this way,maby there mode of thinking feels superficial even to themselfs,thats why enfjs are always on about ebing athentic and real?",https://www.personalitycafe.com//threads/enfjs-and-being-superficial.1197250/,,,,,,,,,,,
cuddlyone,Being taken for granted,"As givers, do you ever have times where you feel like you are taken for granted by your friends, family, or loved ones?  The little things that you do every day for others...it is like some times people come to EXPECT that you will always be there, that you will always be the one to invite them to things or that you will always show up for them.

It is as though it doesn't even occur to the other people/other personality types that some times we need someone to give us things, to think about us and do things for us without being asked, that we need others to offer us a hug or try to make us smile or laugh just once, and that some times we need other people to be there for us.

It just crossed my mind just now that I've gone my entire life thinking of others, wanting to give to others, and a lot of people I've known have come to expect me to just accomodate them or give to them.  :sad:",https://www.personalitycafe.com//threads/being-taken-for-granted.728185/,,,,,,,,,,,
Kataro214,"Sexual, fun and sensual experience with ENFJ?","Hi! I'm an INFP male from Norway :ball: (forgive my English), and after my past relationship im not ready to seek for a new one.. 

However, I really want to have sex with girls just for fun- I know this is not normal to think for INFPs but my view at it is different from before.. I plan to not letting anyone get hurt in the process! And I would also like to explore sexually with girls I like. 
Naturally, ENFJ girls is the type I love and could find at parties most likely, as I like to dance and is quite charming when I'm doing it. I also look very extroverted on the dance-floor even though I'm not.. 

I already got the snapchat from a girl I believe is ENFJ, but I dont know how to hook up with her.. and mby ENFJ girls really dont like sex just for sex? As an INFP I value deep connection, and I'm sure ENFJ does the same. At least this ENFJ I kissed at this party!  :couple_inlove: The thought of deep sensual connection I could have with her during sex makes me 
dream nowadays.. :violin:

is it possible for me to have a romantic night with her? after I tell my true intention ofc. I might even like her as a GF but I'm probably not pretty enough (heh she is hot). Also, I'm prepared for only sex anyway so I won't get sad if that's all I get (I'd be more than happy in fact).

I wonder if you people have any thoughts on this.. what should I do?
Should I seek other types that is more likely to hook up for sex? In that case I would have to hide my weird self on the parties.. I kinda want to be myself, but I can find it fun to use my actor side as well. However, I really really want to avoid pretending to be something else to get some fun sexual experiences. 

I wish for a kind spirit to help my thoughts <3 :anyone:",https://www.personalitycafe.com//threads/sexual-fun-and-sensual-experience-with-enfj.1204474/,,,,,,,,,,,
OHtheNovelty,To Chase or Be Chased,"Would you rather chase someone romantically or have someone chase after you?

I find this interesting because talking with my ENFJ sister, she told me she gets insecure when someone pursues her. I, more or less, am indifferent or flattered by people chasing me but I never considered feeling insecure, so it came as a shock to me that she would feel that way.

So my question is, do you guys get insecure by this? If not, then what do you feel?",https://www.personalitycafe.com//threads/to-chase-or-be-chased.1187762/,,,,,,,,,,,
IddlePoetLion,Help an enfj move on,"Hola dear ENFJs, I'm in desperate need of your insight. I'll be as brief and clear as possible (which for an Enfp is nearly impossible but I'll try my best !

I've met this enfj online and we only met in real life last week after talking every day for two months. To be honest I'm not even sure he's and enfj but he seemed to have Ni and Fe. He's a flirt but also incredibly warm, considerate and romantic. He was pretty serious about our potential relationship and much more open about his feelings than I was (I have a pretty strong Fi and struggle with expressing my emotions but he encouraged me to be more verbal) He kept saying he was impatient to meet me and he was sure our relationship would work out. His words reassured me but I wanted to see how it would be in real life before letting my feelings overwhelm me. When we finally met, we spent the whole day together and it was A-Mazing. At first he was more shy than I expected and he was looking away when I caught him looking at me but we still bonded immediately. We saw each other the next day, slept together and the chemistry was overwhelming. We both said we were happy to FINALLY be together and we couldn't stop touching each other.

Now you may be wondering what the problem is and why we didn't ride off into the sunset ?
Maybe a little backstory would help understanding better. One year ago he ended a 5 year long distance relationship, and even though he is over his ex girlfriend and they both agreed to break up, it hurt him a lot. The PROBLEM is, I live four hours away from him and I was only staying 4 days in his city. I said from the beggining that if we wasn't interested, there were many other women in his city he could talk to. But he kept talking to me. The last thing he said when we saw each other face to face was 'I want to see you again tomorrow' and the following night he texted me to say 'He really likes me but because we probably won't see each other again he wants to stop there to prevent himself from being hurt'. Of course I tried to reassure him and we talked a bit but then I said, 'I'll be in your town next month, you won't want to see me ?' which makes me sound emotionally manipulative and I bitterly regret it but I was so disappointed. I asked to see him and he never answered. I was cheated on by my ex boyfriend and I felt like I could move on thanks to this enfj and I'm sad he thinks he can't do the same. I sent him two other messages to tell him that he was worth the risk of being hurt again and if he meant everything he said to me I'm sure he can let of the past. 
I heard that when enfj decides something it's impossible to make them change their mind but I just can't give up on people suffering. I was selfishly wondering is he was waiting to see if I would insit to prove he was important to me. 
Is it that easy for enfj's to express romantic feelings for someone every day and suddenly ignore them ?  
I'm desperate to understand and possibly help him if I can.

(LITTLE DETAIL THAT I'M SURELY OVERANALYZING) the night he 'dumped me' he conveniently took many snapchats of him having fun at a party. So either he moves on reaaaaally quickly, either that's what he wants to show. Also, I put something in my story and he watched it , so at least he acknowledges my existence.) Sorry for venting guys. BTW my amazing best friend is an enfj so even though I don't sound like it I LOVE YOU.",https://www.personalitycafe.com//threads/help-an-enfj-move-on.1193010/,,,,,,,,,,,
nannuky,Narcissism.,"Hey guys! On this site I've read your personality type is 'strongly linked to Narcissistic personality'. Keeping in mind that you're Fe-doms (and that many of you are Twos in Enneagram), it can be shocking to some, and definitely is to me. My ENFJ friend claims he's got NPD and his psychiatrist also assumed that, but he stopped seeing her before she diagnosed him eventually. Either way, what made him almost completely sure that he's a narcissist, was this list of traits. Almost everything was spot on in his case.

So now my questions are:
1) What are your thoughts on the topic? Have you ever suspected yourself to be a narcissist or have you heard from other people that you act like one?
2) To people who know at least one ENFJ - would you say that they do posses traits mentioned in the page above? I wonder how strongly NPD really is linked to this personality type.

Feel free to share your opinion, whoever you are.",https://www.personalitycafe.com//threads/narcissism.651466/,,,,,,,,,,,
Shirafuji Ai,Tertiary/Inferior Manifestation,"Just curious, but how does your tertiary function manifest in accordance with your other functions - or isolated from your other functions (to an extent)? What about your inferior function? Also do you actively work on developing your tertiary or inferior functions, if so how? Do you try to incorporate them with your leading functions too?",https://www.personalitycafe.com//threads/tertiary-inferior-manifestation.1194665/,,,,,,,,,,,
jetplane48,Want to be Interviewed about your Type on Youtube?,"Hey ENFJ! Jetplane48 here and I just wanted to know if you guys would join our growing Personality Page on Facebook where we discuss MBTI/Socionics/Enneagram etc similar areas of psychology including disorders and abnormalities relating to personality (maybe even astrology?) and thanks for joining


And Yes, I do have a Youtube account discussing MBTI and similar systems. Here it is: https://www.youtube.com/user/jetplane48


Hello ENFPs, I am an ESTP and I'm looking to interview you! I really want to get to know your type via this interactions. I have a a bunch of other videos up but these are they usually turn out:








The purpose of me making these videos is to show the world how all the types could work out in real life, and how they answer various topics. You can use these videos to observe facial movements and stuff like that. Add me on skype, my username is jetplane48 (or message me on PerC if you had any questions before you take the plunge) so we can get this party started and thank you guys for giving me your ears  


(The interview doesn't have to be just us, it can be multiple people so if you prefer that, I could get more types involved)




I also do other types of videos such as follows:











Thanks again, love you PerC",https://www.personalitycafe.com//threads/want-to-be-interviewed-about-your-type-on-youtube.1192410/,,,,,,,,,,,
oneplustoo,Common ENFJ relationship issues?,"Hey, i'm interested in hearing what relationship problems us ENFJ's have.

My most frustrating issue right now is the conflict that what I think a friend is requires much more involvement then what some of  my ""friends"" think being a friend is. 

I run into the problem that my friends think they can be my friend without ever trying to do anything with me. It annoys me to no end. I feel insulted they dare call me their best friend. For example, I've been told by one of my ""friends"" that I'm their favorite person to hang out with and how much I mean to her, but she never calls me, or invites me to do anything with her. To me, if I was a best friend, she would try to involve me in her life. I'm not a pushy person, but for me to even do anything with this person I have to plan it out myself and it feels like I have to push myself into her life instead of being invited.

I got tired of this and left because I didn't really feel a friendship. She was really heartbroken about it, but still didn't try to come talk to me to resolve it even though she said she would. I've just never had someone so care about me, but not put anything into keeping me in the relationship. I finally did talk to her about 3 months later after I left because she texted me and told me how much I meant to her. I patched things up somewhat, but now it's back to how it was. I don't feel like she's trying to have a relationship even though I'm one of her favorite people in her life. It just doesn't add up. Am I running into a common ENFJ personality type conflict here? help please, I'm trying not to cut off this relationship again to avoid the hurt of thinking and caring about someone, but not being able to help them because they won't let me into their life.

thoughts?",https://www.personalitycafe.com//threads/common-enfj-relationship-issues.91753/,,,,,,,,,,,
Zellyanna,Enfj trouble,"So i have an enfj boyfriend and sometimes when he comes home from college he sits down in the living room by himself with this stressed out and lost look on his face.
I dont know if i should try to comfort him when hes like this or if i should jist leave him alone and let him think. Ive spoken to him about this before and he says when he gets like that hes just thinkibg and hes fine. im not sure if he might want someone to talk to but is afraid of burdening me with his feelings or if hes really just fine.",https://www.personalitycafe.com//threads/enfj-trouble.1190170/,,,,,,,,,,,
JuneBud,Could I be an ENFJ?,"I recently asked my sister to type me and she thinks I may be an ENFJ. She says:
- I behave as someone who is concerned with everyone acting in a ethic way, while being gentle and sociable (at home around people I love at least).
- I appear to be a ''giver of lessons'' type of person. A teacher archetype. (Ni)
- Playful, spontaneous, living in the moment and open to the fine pleasures of life (I highly agree with this, which is Se), while being wise and spritually inclined. (Ni)
- Doesn't care for logic for logic itself unless it serves my Fe (Inferior Ti) 

I definitely act extroverted around people I care about and that's when I'm most myself, but I'm also very laid back but also can relate to my INFJ dad (I'm more of a thrill seeker and laid back than he is)",https://www.personalitycafe.com//threads/could-i-be-an-enfj.1188554/,,,,,,,,,,,
Robert2928,Holiday Skype call,"Hello beautiful (some not lol) ENFJs. In an effort to make our subforum the best subforum I am suggesting we do something they, probably, haven't done yet so we can be ahead of the curve. 3 words. Holiday. Skype. Call. ""dawn ye gay apparel"" and jump on skype so we can talk about stuff and junk that may (or may not) be holiday related. I'd suggest video call but hey if you wanna remain hidden that's cool too. In order to make this a Christmas miracle a reality...

1.) How many people would be interested in doing something like this? 
2.) What day or time would work for everyone (you know with different timezones and what not)

Personally I'd shoot before the 20th HOWEVER as an alternative we could also do something similar for new years too or whatever. Like this could become our ""thing"" that subforums try to ""Borrow"" from us.",https://www.personalitycafe.com//threads/holiday-skype-call.1187914/,,,,,,,,,,,
INTJ_female,I need your thoughts on this!,"Hello everyone! There?™s this one girl in my school that I really like, but she?™s giving me mixed signals. We?™ve only known each other for 2 months now, because she?™s not in my class (but I see her quite often though). I will start of by giving some background information. So our relation started off very good; we met at the gym that we both go to, and the first day we met each other, we were literally together all the time at the gym (and we talked and she laughed a lot about things I were saying). After we were finished she told me to add her on Insta. And when I asked her what her name was, I remembered that she had watched some of my past stories; and I didn?™t know it was her because I didn?™t know her name (I don?™t whether she was stalking me or not). And also, one very important thing; we?™re both girls. So back to the gym. I don?™t really know what happened in my mind (because I?™m usually very shy + being and INTJ female doesn?™t exactly make you a champion in expression of feelings), but I started to become distant towards her. I did this because of the fact that I?™m lesbian, and I have no idea if she?™s one too, and all of a sudden I got embarrassed and didn?™t want her to feel awkward if I showed even a little attraction... And one other reason why is that the when we went home after our first meeting at the gym, the way she said ?œbye??seemed kinda wrong (I know this is just stupid, but that?™s just how I felt). This was of course a veeery stupid idea of me. On the gym there?™s like a fitness group (or idk how to call it), and we attend it both of us. Now we?™ve come to the point when we don?™t communicate at all, but she always gets very close (or next to me) at the fitness groups. Sometimes even behind me, and I also caught her staring at me most of the times while doing the exercises - especially when she?™s behind me. Sometimes we also arrange ourselves into groups of two; and we?™re always together (she comes to me too - so she takes the initiative here too). All the times when we?™re in these groups I catch her doing the exercises in exactly my tempo; doing push-ups, lifting one leg, sit -ups, everything! For example, when we have to lift legs, she already starts with the one I?™m staring with too. And she gets awfully close (she ?œaccidentally??gets our  workout mats closer. Even when we?™re doing normal fitness class; last time she was almost so close to me that she could have literally touched me; and it?™s not even a big class (there?™s plenty of place). And I always catch her staring at me in the breaks, usually when I?™m not looking, but I can see her staring + plus there?™s a mirror which I use lol ? From the first time we met at the gym, I don?™t even look at her anymore (only when she doesn?™t she it though). So enough about the fitness ?
I just want to tell something that happened on Friday and yesterday. So we went on a school trip, but only a few of us were going. On Friday (as usual) I caught her staring at me; even some of my friends noticed and forts looked at her then me (as if we were actually flirting). And one other thing that she did is when we had like a guide to guide us through the city; she held hands with another girl (I know they?™re not together), but she only did that when I could have seen her (especially when I was right behind her). She actually caught me staring at her a couple of times while on the trip, but every single time, I were the one to look away first (because it kinda felt as if she was staring into my soul - she stares very long). And btw, I forgot to mention, at the bus ride I was sitting alone because I get nauseous from sitting further down the bus; she asked me if I would sit with her. But I just said that I get nauseous. So back to the trip. Yesterday we went to some sort of museum and we were two groups. And since me and this girl were not in the same group; her best friend asked me if I would go with her through the city. So we did that, and we got along very 
 well (which IMO is sorta strange because her friends seem to like me - while I?™m still confused about her. Me and her bf went to the shops, and in one moment her bf decided to call her to go eating (and she said no), but then she said that I?™m there with her - and she literally came to us in 5 min. That was the first time I were with her since the first time at the gym. And one thing I also noticed, every time she would walk in front of me, she would walk in a different way than usual - kinda like showing off. 
Okay, this was long... So my question is, did I do anything wrong? I?™m thinking about having a birthday party on Saturday, and maybe invite her. Probably she thinks I hate her, but idk. It?™s difficult to read her face, because it?™s always the same, even when talking with friends. What do my fellows INTJs think? ?",https://www.personalitycafe.com//threads/i-need-your-thoughts-on-this.1186561/,,,,,,,,,,,
intellilogic,Best way to proposed to an (Female) ENFJ-A?,"She?™s pretty close on the S/N, so I?™m going to ask for insights on both.  I?™m sure she?™ll love anyway I do it, so let?™s avoid those comments.  I know some prefer momentous, others like things very intimate; I?™m not quite so sure with her.  Give me a ball part of the type of proposal (ie: surprise, family around, private dinner, big show), I?™m more than creative enough to figure out the rest ;P",https://www.personalitycafe.com//threads/best-way-to-proposed-to-an-female-enfj-a.1180073/,,,,,,,,,,,
Intj_guy,INTJ seeking thoughts on ENFJ,"So, after doing my homework  (it's our thing) I decided to join and just ask for advice directly regarding my situation: 

There's an ENFJ girl that chased me for months, asking to do things, asking me to take her on dates etc. I finally did and everything just clicked. She would always ask me to things, never the other way around (not for lack of liking her). These were personal things of hers that she's very passionate about (she owns a horse and rides). After a few of these 'dates' and constantly talking she got cold. I would reach out (not overbearing, like once every few days) and the energy shifted. I eventually let it be to see if she would reciprocate and she didn't. I chalked it up as her not being interested anymore and just move on.

6 weeks go by and she makes contact. I joke around and mention her ghosting me and she said she heard I got back with an ex-wife  (we are both recently divorced so we share that as well and understand each other). I told her I would have never chased her (the enfj) if I was going to entertain another woman (the ex). She acts aloof and says she didn't know I was interested that way and gives me the ""you're funny, smart, handsome but I just wanna be friends currently"" line. Ok cool, I know where we stand. I let things go some more, pull back and she invites me to an event with her. We have fun (we both volunteer and it involved that) and grab drinks after. She takes me to her friends and genuinely seems to enjoy our time. We talk for a week straight, mentions things like she'd like me to cook her dinner sometime, we talk about sex and personal things, etc. Then we go weeks without talking again. She invites me to another event, but her gf's are going too. I like them and they like me, all good. We all genuinely seem to get along well. Even if we don't talk and I run into her at the gym she seems very enthusiastic to speak to me (this could just be an enfj thing, or not, idk). Overall, she seems interested in me on some level.

Does this girl like me more than a friend or not?! I'm an aloof INTJ and can figure people out quickly but I'm totally lost in all this. I think it's half the reason why I'm so hooked. She does and says things friends wouldn't do with someone she knows likes her. Personally, if I know a girl likes me and I don't like her back the last thing I would do is invite her to hang out, even with other friends around. We have a lot of common interests as well. I just can't figure it out and I sure as hell don't want to overstep that line after she pulled the friend remark. I think she's confused or wants me to make a move but Idk. 

Thoughts? And thank you in advance!",https://www.personalitycafe.com//threads/intj-seeking-thoughts-on-enfj.1182386/,,,,,,,,,,,
ThirdArcade,Famous ENFJs?,Any famous ENFJs out there? I have a feeling that Demi Lovato is an ENFJ. What are your thoughts? Any other ENFJs come to mind? Seems like we a rare breed...,https://www.personalitycafe.com//threads/famous-enfjs.108051/,,,,,,,,,,,
soulofwhitelight,ENFJ Type Relationships,"Type Relationships for ENFJs:
Identity ENFJ

Pal INFJ
Poser

Complement ENFP
Right brain
Not Soulmate
Parent-Parent complex

Contrast INFP

Supplement ESTP
Not Soulmate
Child-Child Complex

Anima ISTP
Left brain dominant

Suitemate ESFP
Soulmate
Child complex
Parent ESFP with child ENFJ.

Cohort ISFP

Companion ENTJ

Tribesman INTJ

Advisor ENTP
Soulmate
Parent complex
Parent ENFJ with child ENTP.

Pedagogue INTP
Not Soulmate
Anima

Enigma ESTJ
Poser

Novelty ISTJ

Neighbor ESFJ

Counterpart ISFJ",https://www.personalitycafe.com//threads/enfj-type-relationships.1179105/,,,,,,,,,,,
neutralchaotic,Best ways to help ENFJ through a rough patch?,"My ENFJ friend recently shared with me that his mental health hasn't been as great the past few months. It took a while for him to say this to me (I knew something was wrong, but it wasn't until little things he said started slipping in his conversations that I felt it could even be broached between us). We had a one-on-one conversation about this just yesterday, and he really made an effort to be open about things. I'm still worried, though, because he really doesn't have a support network minus one or two people, and he tends to withdraw heavily rather than seek out comfort (when he really needs it). I know him in particular, he doesn't like to ASK for anything out of friendships, but he told me he doesn't receive as much he gives in our friendships. I told him blatantly that I don't feel like I do anything in our friendship, and he told me I do, so I guess my questions are:


what do ENFJs consider as 'friendship' acts? simply time together?
How can I show my ENFJ friend that I can be a listening ear for him?
In what ways can I be proactive during this process, since he doesn't like to ask for help?
It's not my intent to solve his issues for him, but how do I help keep him from slipping deeper within himself?

Thank you for any help. roud:",https://www.personalitycafe.com//threads/best-ways-to-help-enfj-through-a-rough-patch.1181642/,,,,,,,,,,,
Luminis,"ENFJs, what is your Enneagram?",Please tell me your Enneagram with wing if you know it. IÂ´m collecting data  for a paper IÂ´m going to write on correlations between personality typologies.,https://www.personalitycafe.com//threads/enfjs-what-is-your-enneagram.1160250/,,,,,,,,,,,
daiverson,South Carolina Residents,This thread is for South Carolina residents who are MBTI ENFJ.,https://www.personalitycafe.com//threads/south-carolina-residents.1177890/,,,,,,,,,,,
wums,"ENFJs, do you ever express your opinions?","Hey guys! Do you ever say your thoughts/opinions to people? 

If you do, do you find that they react to you with a lot of criticism?",https://www.personalitycafe.com//threads/enfjs-do-you-ever-express-your-opinions.1168210/,,,,,,,,,,,
neutralchaotic,caught in a flirtationship?,"Without going into a huge amount of detail, I have reason to believe a friendship with an ENFJ friend of mine is not quite as platonic as it used to be. Normally I would chalk this up to his personality, because he's very flirty in nature, but I can't shake the feeling that he's not entirely clowning around, because his statements pertaining to romance / relationships / dating (and this happens in 9 out of 10 conversations we have) always specifically describe traits and experiences of mine, and he has zero trouble calling me his fake girlfriend though I know he told me he's done with people for now. ..we also speak the least (relative) out of our friend group, but I've only seen him be stronger with his flirting when it comes to me. 

The catch is I think we both know we have some compatibility issues (he made a specific comment that touched on a reason I'm hesitant to move forward with him). On top of that, I'm still sorting out my feelings for him (the physical attraction is most definitely there, however), so I'm not sure of the best way to approach this. Could I stay silent, since he seems to be reading my mind and emotions quite well so far? Or just tell him I've been conflicted as of late, and would like to clarify where we stand?",https://www.personalitycafe.com//threads/caught-in-a-flirtationship.1170058/,,,,,,,,,,,
artofbalance,Turning Off Feelings?,"Hi awesome ENFJs!

I noticed that anytime I leave my ENFJ, he turns off his feelings? It's almost like kisses and hugs become practical instead of emotionally filled when they normally are lovey/passionate. Which confuses me? Can someone explain why?

Also, when I say things like, ""I miss you!"" or ""Thinking about you!"" (we are in a ldr), he doesn't really reciprocate. He immediately goes, ""Hey you!!!..."" almost changing the mood.

Would really love some help figuring this out. I could also ask him, but would love some help on how to ask without hurting his feelings or having him feel like I'm attacking him.

Thanks for your help in advance!",https://www.personalitycafe.com//threads/turning-off-feelings.1162769/,,,,,,,,,,,
Infplady,Infp looking for an enfj penpal,"Male or female. 

I?™m 28, f and looking to see how well we get along. Pm if interested . Platonic intentions only",https://www.personalitycafe.com//threads/infp-looking-for-an-enfj-penpal.1173330/,,,,,,,,,,,
ashmk3,Music for the ENFJ soul :),"I thought we could start a thread of music of songs that we LOVE, or songs that define us.  I know that ENFJ's love music, and have a large variety, i think it would be fun to share it with each other?  This is one of my many many many favorites:",https://www.personalitycafe.com//threads/music-for-the-enfj-soul.24524/,,,,,,,,,,,
SereneTugBoat,What have your real life experiences with INFPs been like?,The ENFJs dynamic with INFPs  is interesting.,https://www.personalitycafe.com//threads/what-have-your-real-life-experiences-with-infps-been-like.32558/,,,,,,,,,,,
